1461133,Beringraja rhina,161595,Beringraja rhina,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Beringraja,Longnose Skate,"(Jordan &amp; Gilbert, 1880)",2020,2019-02-07,LC,,Stable,true,false,false,"Bizzarro, J.J., Ebert, D.A., Herman, K. & Kyne, P.M.","Simpfendorfer, C. & Rigby, C.L.",,,,,9.0,1294.0,,,,
276659,Stegastes adustus,188551,Stegastes adustus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Stegastes,Dusky Damselfish,"(Troschel, 1865)",2015,2010-11-15,LC,,Stable,true,false,false,"Rocha, L.A. & Myers, R.","Ralph, G. & Linardich, C.",,,,,0.0,20.0,,,,
272058,Chlorophthalmus mento,123322027,Chlorophthalmus mento,ANIMALIA,CHORDATA,ACTINOPTERYGII,AULOPIFORMES,CHLOROPHTHALMIDAE,Chlorophthalmus,Robust Greeneye,"Garman, 1899",2020,2019-08-15,LC,,Unknown,true,false,false,"Holleman, W., Fennessy, S., Russell, B. & Maunde, C.","Linardich, C.",,,,,171.0,260.0,,,,
101173,Lethenteron camtschaticum,135719,Lethenteron camtschaticum,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Lethenteron,Arctic Lamprey,"(Tilesius, 1811)",2013,2012-02-21,LC,,Unknown,true,true,false,NatureServe,"Smith, K. & Darwall, W.R.T.",,,,,,,,,,
126600,Electrona risso,198615,Electrona risso,ANIMALIA,CHORDATA,ACTINOPTERYGII,MYCTOPHIFORMES,MYCTOPHIDAE,Electrona,Electric Lantern Fish,"(Cocco, 1829)",2015,2012-07-10,LC,,Unknown,true,false,false,"Hulley, P.","Carpenter, K.E., Strongin, K. & Polidoro, B.",,,,,90.0,750.0,,,,
275931,Hemanthias signifer,183261,Hemanthias signifer,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ANTHIADIDAE,Hemanthias,Hookthroat bass,"(Garman, 1899)",2010,2008-05-01,LC,,Unknown,true,false,false,"Smith-Vaniz, B, Robertson, R., Dominici-Arosemena, A., Molina, H., Salas, E. & Guzman-Mora, A.G.","Carpenter, K., Polidoro, B. & Livingstone, S. (Global Marine Species Assessment Team)",,,,,25.0,305.0,,,,
159359,Symphurus marginatus,190143,Symphurus marginatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,CYNOGLOSSIDAE,Symphurus,Margined Tonguefish,"(Goode &amp; Bean, 1886)",2019,2018-10-12,LC,,Unknown,true,false,false,"Cobián Rojas, D., Espinosa-Perez, H., Polanco Fernandez, A. & Vega-Cendejas, M.","Linardich, C.",,,,,37.0,832.0,,,,
127292,Diplophos taenia,18252702,Diplophos taenia,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,GONOSTOMATIDAE,Diplophos,Pacific Portholefish,"Günther, 1873",2015,2013-05-22,LC,,Stable,true,false,false,"Harold, A.","Weller, S., Strongin, K., Polidoro, B. & Carpenter, K.E.",,,,,0.0,1594.0,,,,
449978,Lepetodrilus pustulosus,157867341,Lepetodrilus pustulosus,ANIMALIA,MOLLUSCA,GASTROPODA,LEPETELLIDA,LEPETODRILIDAE,Lepetodrilus,,"McLean, 1988",2021,2021-02-02,NT,,Unknown,true,false,false,"Molloy, A. & Thomas, E.A.","Böhm, M. & Seddon, M.B.",36,7305593.254,,,2635.0,2447.0,,,,
219271,Ecsenius midas,48342333,Ecsenius midas,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Ecsenius,Midas Blenny,"Starck, 1969",2014,2009-03-25,LC,,Stable,true,false,false,"Williams, J.T.","Polidoro, B. & Carpenter, K.E.",,,,,2.0,40.0,,,,
