taxonid,scientific_name,subspecies,rank,subpopulation,category
103290570,"Acipenser transmontanus Columbia River Upper, Middle and Lower subpopulation",NA,NA,"Columbia River Upper, Middle and Lower subpopulation",EN
257,Acipenser transmontanus Kootenai River subpopulation,NA,NA,Kootenai River subpopulation,EN
97440671,Acipenser transmontanus Sacramento and San Joaquin River subpopulation,NA,NA,Sacramento and San Joaquin River subpopulation,VU
103290582,Acipenser transmontanus Snake River subpopulation,NA,NA,Snake River subpopulation,EN
168639,Acorus calamus,NA,NA,NA,LC
22710921,Acridotheres tristis,NA,NA,NA,LC
55286,Acris crepitans,NA,NA,NA,LC
55287,Acris gryllus,NA,NA,NA,LC
22714797,Acrocephalus familiaris,NA,NA,NA,CR
314,Acrolophitus pulchellus,NA,NA,NA,VU
315,Acroloxus coloradensis,NA,NA,NA,NT
199371,Acromycter alcocki,NA,NA,NA,LC
190271,Acromycter atlanticus,NA,NA,NA,LC
155234,Acromycter perturbator,NA,NA,NA,LC
133381,Acropora cervicornis,NA,NA,NA,CR
133006,Acropora palmata,NA,NA,NA,CR
177110,Acrostichum aureum,NA,NA,NA,LC
178810,Acrostichum danaeifolium,NA,NA,NA,LC
4969,Actinemys marmorata,NA,NA,NA,VU
189504,Actinonaias ligamentina,NA,NA,NA,LC
511,Actinonaias pectorosa,NA,NA,NA,LR/nt
180353,Actinopyga agassizi,NA,NA,NA,LC
180337,Actinopyga mauritiana,NA,NA,NA,VU
180338,Actinopyga obesa,NA,NA,NA,DD
22693264,Actitis hypoleucos,NA,NA,NA,LC
22693277,Actitis macularius,NA,NA,NA,LC
185922,Acyrtops beryllinus,NA,NA,NA,LC
513,Adelocosa anops,NA,NA,NA,EN
91150579,Adenophorus epigaeus,NA,NA,NA,EN
200769821,Adenophorus haalilioanus,NA,NA,NA,EN
78772698,Adenophorus periens,NA,NA,NA,CR
138783248,Adenostemma viscosum,NA,NA,NA,LC
126610157,Adenostoma sparsifolium,NA,NA,NA,LC
164082,Adiantum capillus-veneris,NA,NA,NA,LC
22696634,Aechmophorus clarkii,NA,NA,NA,LC
22696631,Aechmophorus occidentalis,NA,NA,NA,LC
526,Aegialia concinna,NA,NA,NA,VU
527,Aegialia crescenta,NA,NA,NA,VU
172098,Aegilops ventricosa,NA,NA,NA,LC
22689366,Aegolius acadicus,NA,NA,NA,LC
22689362,Aegolius funereus,NA,NA,NA,LC
22728583,Aerodramus bartschi,NA,NA,NA,EN
22686733,Aeronautes saxatalis,NA,NA,NA,LC
168855,Aeschynomene indica,NA,NA,NA,LC
156820810,Aesculus californica,NA,NA,NA,LC
60757580,Aesculus flava,NA,NA,NA,LC
60757589,Aesculus glabra,NA,NA,NA,LC
152911083,Aesculus parviflora,NA,NA,NA,LC
152909167,Aesculus pavia,NA,NA,NA,LC
152909108,Aesculus sylvatica,NA,NA,NA,LC
165074,Aeshna canadensis,NA,NA,NA,LC
165016,Aeshna clepsydra,NA,NA,NA,LC
50959122,Aeshna constricta,NA,NA,NA,LC
50959126,Aeshna eremita,NA,NA,NA,LC
50959132,Aeshna interrupta,NA,NA,NA,LC
165518,Aeshna juncea,NA,NA,NA,LC
164945,Aeshna palmata,NA,NA,NA,LC
562,Aeshna persephone,NA,NA,NA,LC
50959142,Aeshna septentrionalis,NA,NA,NA,LC
50959145,Aeshna sitchensis,NA,NA,NA,LC
165508,Aeshna subarctica,NA,NA,NA,LC
50959214,Aeshna tuberculifera,NA,NA,NA,LC
165055,Aeshna umbrosa,NA,NA,NA,LC
50959222,Aeshna verticalis,NA,NA,NA,LC
50959232,Aeshna walkeri,NA,NA,NA,LC
22694915,Aethia cristatella,NA,NA,NA,LC
22694906,Aethia psittacula,NA,NA,NA,LC
22694921,Aethia pusilla,NA,NA,NA,LC
22694918,Aethia pygmaea,NA,NA,NA,LC
42564343,Aetobatus narinari,NA,NA,NA,EN
42566169,Aetobatus ocellatus,NA,NA,NA,VU
133535,Agaricia agaricites,NA,NA,NA,LC
133153,Agaricia fragilis,NA,NA,NA,DD
133288,Agaricia grahamae,NA,NA,NA,LC
133255,Agaricia humilis,NA,NA,NA,LC
132970,Agaricia lamarcki,NA,NA,NA,VU
133100,Agaricia undata,NA,NA,NA,DD
122090207,Agaricus arvensis,NA,NA,NA,LC
122090210,Agaricus bitorquis,NA,NA,NA,LC
122090215,Agaricus campestris,NA,NA,NA,LC
75093504,Agaricus pattersoniae,NA,NA,NA,VU
122090218,Agaricus sylvaticus,NA,NA,NA,LC
153698588,Agastache cana,NA,NA,NA,LC
153699363,Agastache pringlei,NA,NA,NA,LC
114936808,Agave albomarginata,NA,NA,NA,EN
13507070,Agave americana,NA,NA,NA,LC
114936914,Agave applanata,NA,NA,NA,LC
114937213,Agave chrysantha,NA,NA,NA,LC
114979497,Agave decipiens,NA,NA,NA,VU
114979533,Agave deserti,NA,NA,NA,LC
115629519,Agave havardiana,NA,NA,NA,VU
44393414,Agave lechuguilla,NA,NA,NA,LC
115645853,Agave mckelveyana,NA,NA,NA,NT
115689468,Agave palmeri,NA,NA,NA,LC
115689594,Agave parryi,NA,NA,NA,LC
115689669,Agave parviflora,NA,NA,NA,LC
115690779,Agave schottii,NA,NA,NA,LC
115690981,Agave shawii,NA,NA,NA,LC
125136787,Agave shawii subsp. shawii,shawii,subsp.,NA,EN
123988828,Agave simplex,NA,NA,NA,LC
115698297,Agave toumeyana,NA,NA,NA,LC
115698571,Agave univittata,NA,NA,NA,LC
115698677,Agave utahensis,NA,NA,NA,LC
22724206,Agelaius humeralis,NA,NA,NA,LC
22724191,Agelaius phoeniceus,NA,NA,NA,LC
22724196,Agelaius tricolor,NA,NA,NA,EN
144308616,Ageratina havanensis,NA,NA,NA,LC
64297,Agkistrodon contortrix,NA,NA,NA,LC
64298,Agkistrodon piscivorus,NA,NA,NA,LC
693,Aglaodiaptomus kingsburyae,NA,NA,NA,VU
694,Aglaodiaptomus marshianus,NA,NA,NA,VU
39312,Aglaothorax longipennis,NA,NA,NA,CR
191246,Agosia chrysogaster,NA,NA,NA,LC
173004462,Agraulis vanillae,NA,NA,NA,LC
64262084,Agrostis aequivalvis,NA,NA,NA,LC
167861,Agrostis canina,NA,NA,NA,LC
64262122,Agrostis clavata,NA,NA,NA,LC
64263217,Agrostis perennans,NA,NA,NA,LC
164020,Agrostis stolonifera,NA,NA,NA,LC
188973351,Agrotis arenivolans,NA,NA,NA,EN
188973570,Agrotis aulacias,NA,NA,NA,DD
188973692,Agrotis baliopa,NA,NA,NA,EN
188973759,Agrotis bryani,NA,NA,NA,VU
188974367,Agrotis ceramophaea,NA,NA,NA,DD
188974524,Agrotis charmocrita,NA,NA,NA,DD
188974686,Agrotis cremata,NA,NA,NA,CR
704,Agrotis crinigera,NA,NA,NA,CR
188975110,Agrotis dislocata,NA,NA,NA,DD
188975299,Agrotis epicremna,NA,NA,NA,EN
188987541,Agrotis evanescens,NA,NA,NA,CR
705,Agrotis fasciata,NA,NA,NA,CR
188987945,Agrotis giffardi,NA,NA,NA,DD
